Предметы;Товары;Товары с движением;Товары с продажами;% товаров с движением;% товаров с продажами;Продажи;Выручка;Продавцы;Продавцы с продажами;% продавцов с продажами;Минимальная цена;Максимальная цена;Средняя цена;Медианная цена;Минимальная цена с продажами;Максимальная цена с продажами;Средняя цена с продажами;Медианная цена с продажами;Средний рейтинг;Средний % выкупа;Средний % выкупа с учетом возвратов
Периферия и аксессуары / Защита проводов;2800;955;802;34,107142857142854;28,642857142857142;34312;12318340;172;84;48,83720930232558;50;12029;482,2496428571429;243;95;2875;357,0586034912718;280;4,672952853598015;94,85;94,66
Спортивная одежда / Лонгсливы спортивные;2250;1006;681;44,71111111111111;30,266666666666666;6119;12435934;352;151;42,89772727272727;78;19190;2648,6693333333333;2192;325;17480;2423,064610866373;2025;4,525618883131837;63,33;60,08
Красота / Футляры для зубных щеток;3477;1251;1061;35,9792924935289;30,51481161921196;52935;12543592;667;278;41,67916041979011;0;14250;435,2507909117055;272;0;10000;321,19132893496703;267;4,491417165668663;94,15;93,83
Спортивная одежда / Вейдерсы;341;158;119;46,334310850439884;34,89736070381232;1895;12546179;86;46;53,48837209302326;1200;79590;14904,448680351907;13590;1200;79590;14113,42857142857;13199;4,538011695906433;69,14;66,58
Красота / Менструальные чаши;3570;1080;749;30,252100840336134;20,980392156862745;21612;12757024;650;264;40,61538461538461;0;19999;978,318487394958;701;0;4121;690,3150867823765;477;4,578661844484629;95,84;95,83
Бижутерия / Шнурки для кулонов;3022;1277;1052;42,25678358702846;34,811383189940436;46464;12843132;312;163;52,243589743589745;0;18451;544,7809397749835;287;14;5796;305,5294676806084;217;4,508728179551122;92,05;91,65
Спецодежда и СИЗы / Куртки рабочие;3521;996;591;28,287418347060495;16,785004260153364;6941;12876465;253;144;56,916996047430835;0;30983;4366,406702641295;4160;20;21997;3008,7495769881557;2520;4,467729083665339;76,02;73,63
Спортивный товар / Сигнализаторы клева;2951;897;711;30,396475770925107;24,093527617756692;17356;12879436;391;169;43,22250639386189;50;56775;1812,3896984073197;499;90;14789;1212,0956399437412;391;4,553854007146503;95,4;95,02
Красота / Межзубные ершики;1830;657;601;35,90163934426229;32,84153005464481;35515;12879945;332;167;50,30120481927711;7;19000;751,1945355191257;512;126;2275;514,1946755407654;420;4,501246882793017;96,48;96,45
Рукоделие / Лапки для швейных машин;2790;1327;1033;47,56272401433692;37,02508960573477;30389;12891863;229;146;63,75545851528384;50;38000;1192,9702508960575;547;116;7315;554,5963213939981;388;4,679178885630498;96,21;95,79
Дом / Иконы;23098;4990;2814;21,603602043466967;12,18287297601524;19491;13009049;374;161;43,04812834224599;0;424860;3355,70088319335;1108;83;71175;1364,2928216062544;702,5;4,7929527207850136;96,67;96,42
Ювелирные украшения / Ювелирные броши;9315;3103;1394;33,3118625872249;14,965110037573805;7085;13030877;294;146;49,65986394557823;162;325969;6725,208910359635;3081,5;162;90646;3341,1133428981348;1925;4,686497792237973;89,01;88,98
Спортивные аксессуары / Защита тела;4307;1341;762;31,13536104016717;17,692129092175527;5284;13146611;558;254;45,51971326164875;0;106449;5310,717901091247;2422;254;52000;4017,297900262467;1955,5;4,277334851936219;74,28;71,35
Спортивная одежда / Бриджи спортивные;1162;523;388;45,00860585197935;33,39070567986231;7389;13157135;346;144;41,61849710982659;0;19000;1839,6790017211704;1034,5;0;9590;2198,592783505155;1117,5;4,353483606557377;75,54;73,21
Мебель / Накладки-протекторы для мебели;6324;1860;1469;29,41176470588235;23,22896900695762;55849;13217139;593;252;42,49578414839798;50;22320;531,1519607843137;302;73;5155;317,06535057862493;238;4,543371522094926;95,75;94,73
Спортивная обувь / Борцовки;967;536;394;55,429162357807655;40,74457083764219;5097;13218471;135;83;61,48148148148148;332;60091;3666,46949327818;2520;862;5990;2657,289340101523;2523,5;4,4260731319554845;66,72;64,12
Периферия и аксессуары / Держатели проводов;4159;1326;1051;31,88266410194758;25,270497715797063;36549;13221807;906;364;40,1766004415011;10;28324;621,4979562394807;294;71;3600;400,185537583254;249;4,524151696606786;96,49;96,27
Спортивный товар / Приманки мягкие;49940;8019;4911;16,05726872246696;9,833800560672808;39642;13323020;447;249;55,70469798657719;0;47500;482,97661193432117;378;80;9999;339,12746894726126;284;4,6428999677166445;94,88;94,73
Красота / Атомайзеры;4216;1634;1359;38,75711574952562;32,23434535104364;52981;13418609;348;163;46,839080459770116;50;25200;551,9022770398482;336;95;3397;400,64606328182487;300;4,562650188808788;95,28;95,21
Одежда для малышей / Туники для малышей;977;533;328;54,554759467758444;33,57215967246674;12171;13593450;236;98;41,525423728813564;0;5800;1150,4022517911976;1060;165;3276;1158,621951219512;1124,5;4,632791327913279;82,65;81,63
Канцелярские товары / Таблички информационные;41742;5964;3612;14,287767715969526;8,653155095587177;18517;13701331;760;332;43,684210526315795;0;101000;952,5681807292415;654,5;50;101000;777,6220930232558;434;4,735487223088187;92,65;92,02
Товары для взрослых / Трусы эротик;14091;2527;1502;17,93343268753105;10,659286069122135;34816;13896178;656;275;41,920731707317074;59;99999;1126,8038464267972;891;59;4160;502,4467376830892;425;4,376346844535659;91,9;91,85
Дом / Держатели для простыни;990;444;406;44,848484848484844;41,01010101010101;51672;13935269;402;174;43,28358208955224;50;16050;462,56666666666666;319;107;2833;370,5418719211823;294;4,661407766990291;97,26;97,08
Посуда и инвентарь / Комплектующие для дистиллятора;6974;1856;1378;26,61313449956983;19,75910524806424;13213;13951915;223;123;55,15695067264574;75;74820;2487,5506165758534;1310;110;29033;1772,6088534107403;991,5;4,530390417036379;94,51;94,09
Рукоделие / Наборы для вязания;15803;3626;2555;22,945010441055494;16,167816237423274;29906;14054755;736;326;44,29347826086956;36;41449;1191,9062836170347;535,5;73;23112;691,5479452054794;445;4,729639092941552;96,88;96,85
Продукты / Грибы;2230;770;652;34,52914798206278;29,237668161434975;19084;14131378;479;204;42,58872651356994;55;48171;1157,5076233183856;768,5;55;5099;889,4340490797546;726;4,564634146341463;97,34;97,12
Одежда / Шорты пижамные;2312;1084;829;46,88581314878893;35,85640138408304;20555;14151118;364;179;49,175824175824175;66;13200;1038,1349480968859;728;66;5943;968,021712907117;693;4,6357918810749;82,09;80,78
Красота / Пеньюары парикмахерские;2500;972;794;38,88;31,76;33369;14153270;413;190;46,00484261501211;50;12350;941,5616;679,5;117;4320;749,9471032745591;575,5;4,615072463768116;95,5;95,27
Рукоделие / Фурнитура для игрушек;9640;3041;2317;31,54564315352697;24,035269709543567;51946;14355250;296;172;58,10810810810811;58;199000;625,283091286307;360,5;69;2470;323,43547690979716;246;4,640285071267817;96,38;96,18
Хранение вещей / Разделители для ящиков;3599;1033;802;28,702417338149484;22,283967768824674;32082;14397243;548;230;41,97080291970803;0;19000;904,2322867463184;586;50;3600;593,4364089775561;504;4,529548627268497;95,74;94,88
Аксессуары / Кредитницы;12200;5366;2946;43,98360655737705;24,147540983606557;31265;14561995;837;347;41,457586618876945;50;32332;974,3754098360656;480;81;9790;659,3747454175153;436;4,795988785852922;92,28;91,75
Спецодежда и СИЗы / Халаты рабочие;4285;1400;1002;32,67211201866978;23,383897316219368;18963;14635619;233;108;46,3519313304721;51;25532;1661,579463243874;1439;157;5475;970,4560878243512;741;4,573248407643312;76,57;73,46
Мебель / Стулья барные;2894;459;331;15,860400829302003;11,437456807187283;2787;14692121;124;58;46,774193548387096;1950;58578;8385,861782999309;7288;1950;28352;5993,918429003021;4817;4,431590656284761;87,71;83,85
Все для садоводства / Колышки садовые;3227;1013;872;31,39138518748063;27,022001859312052;33635;14773500;494;208;42,10526315789473;50;83580;987,2240471025721;650;98;3690;716,1938073394496;539;4,654496883348174;96,23;96,02
Бытовая техника / Насадки для пылесосов;5844;1169;884;20,003422313483917;15,12662559890486;23268;14832165;426;180;42,25352112676057;50;133650;1792,611054072553;1006,5;50;15926;1138,4762443438915;669,5;4,335751295336787;93,97;92,37
Хранение вещей / Мешки для хранения белья;3446;1149;888;33,34300638421358;25,769007544979686;28508;14899081;626;258;41,21405750798722;50;30190;820,4381892048752;550;50;4084;582,3288288288288;459;4,596568236233041;95,61;95,18
Спортивная одежда / Джерси;1825;976;671;53,47945205479452;36,76712328767123;6966;14918423;124;75;60,483870967741936;484;23750;4340,267397260274;3511;627;19710;3060,682563338301;2400;4,555454545454546;66,07;62,04
Одежда для малышей / Шорты для малышей;5257;2472;1622;47,02301692980787;30,854099296176525;25085;14994215;776;346;44,58762886597938;0;19000;997,5223511508465;597;82;4200;800,8236744759556;570;4,67382472431805;84,98;83,71
Белье / Бретели;1480;723;652;48,85135135135135;44,05405405405405;66950;15071915;319;152;47,64890282131662;40;14250;377,47972972972974;247;80;2599;324,97546012269936;274;4,3982683982683985;93,24;93,23
Спортивная одежда / Костюмы-сауна;651;329;276;50,53763440860215;42,3963133640553;8175;15083476;230;121;52,608695652173914;253;15000;1888,3748079877112;1399;300;6999;1987,981884057971;1783;4,216035634743875;69,64;67,48
Аксессуары / Воротники;5242;2799;1873;53,395650515070585;35,730637161388785;22152;15163365;691;365;52,821997105643995;64;45760;1784,2052651659671;999;147;24455;1068,501868659904;765;4,595842397872855;80,99;78,92
Ювелирные украшения / Столовое серебро;4015;1111;577;27,67123287671233;14,371108343711084;3611;15326078;84;43;51,19047619047619;285;449999;17921,15915317559;7890;327;195000;8628,818024263432;4596;4,695224027572625;86,95;86,86
Аксессуары для малышей / Чепчики;5437;2307;1724;42,43148795291521;31,708662865550856;34609;15367447;507;248;48,91518737672583;50;19000;506,5245539819754;307;57;3408;423,8544083526682;354;4,697821350762527;90,95;90,83
Белье / Комбинации;1307;628;517;48,04896710022953;39,55623565416985;11238;15401273;257;125;48,63813229571985;100;33408;2001,6052027543994;1584;356;11392;1663,7736943907157;1415;4,334816462736374;69,44;69,25
Канцелярские товары / Бейджи;26256;5435;3604;20,700030469226082;13,726386349786715;71104;15466046;972;407;41,87242798353909;25;38106;524,7182358318099;279;51;4365;294,8224195338513;250;4,569029364210087;95,32;95,15
Мебель / Модули кухонные;6000;1314;1074;21,9;17,9;4366;15754618;78;47;60,256410256410255;144;24640;4455,078;4113;216;19287;3841,5530726256984;3545;4,2627056223913575;88,77;87,99
Красота / Гель-краски для ногтей;6235;2354;1611;37,75461106655974;25,838011226944666;42774;16052852;438;191;43,60730593607306;57;14250;450,6601443464314;357;76;5141;369,42085661080074;297;4,352216748768473;96;96
Хозяйственные товары / Саше ароматические;8884;2235;1621;25,157586672669968;18,24628545700135;46938;16077314;1031;423;41,028128031037824;0;19000;551,8259792886088;389;52;3500;380,42196175200496;331;4,443930917051812;95,9;95,75
Дом / Фильтры для заваривания напитков;1506;716;642;47,54316069057105;42,62948207171315;54662;16109053;470;234;49,78723404255319;55;19000;815,324037184595;381,5;105;1940;371,2601246105919;321,5;4,707272727272727;97,69;97,56
Аксессуары / Цепочки для очков;8673;3006;1897;34,65928744379107;21,872477804681193;55208;16110292;805;385;47,826086956521735;0;34595;852,1411276374956;430;90;7899;601,1997891407485;380;4,505810092961488;91,54;91,16
Одежда / Мантии;901;428;340;47,502774694783575;37,735849056603776;4771;16159522;200;96;48;51;16906;3611,42397336293;3153;598;12040;3974,7029411764706;3657;4,614678899082569;59,51;56,91
Спортивный товар / Ласты;2895;1090;807;37,65112262521589;27,875647668393782;7282;16162009;282;128;45,39007092198582;0;49500;4343,551295336788;2597;339;15319;2862,5105328376703;2252;4,457331730769231;77,49;74,7
Рукоделие / Воски для свечей;4639;1268;1005;27,333477042466047;21,66415175684415;18989;16176255;428;191;44,626168224299064;50;25000;902,8948049148523;580;103;9499;894,2288557213931;639;4,353323029366306;93,72;93,47
Спортивная одежда / Платья спортивные;2434;1228;730;50,4519309778143;29,991783073130648;5129;16188453;396;205;51,76767676767677;125;115000;4196,94083812654;3040;525;11333;3518,4260273972604;2805;4,529893924783028;56,91;53,15
Рукоделие / Спицы для вязания;25604;6430;3286;25,113263552569908;12,833932198094047;26963;16202774;423;223;52,718676122931434;0;35456;1159,076159975004;771;54;35456;795,2942787583688;456;4,5394032134659525;94,42;93,94
Рукоделие / Заготовки для поделок;48633;11635;6553;23,92408446939321;13,474389817613554;53692;16283696;1988;851;42,80684104627767;0;48602;652,6270639277857;370;50;4479;358,2565237295895;290;4,586219081272085;94,18;93,48
Садовая техника / Аксессуары для моек высокого давления;1887;567;501;30,047694753577105;26,55007949125596;13369;16372225;250;104;41,6;0;97000;3490,6862745098038;2240;172;10353;1930,820359281437;1772;4,343638525564804;93;91,41
Красота / Праймеры для ногтей;1781;592;537;33,23975294778215;30,151600224592926;60691;16684502;506;247;48,81422924901186;65;19000;635,0595171252105;394;69;2760;379,04283054003724;315;4,431749241658241;96,27;96,2
Головные уборы / Капоры;11355;5534;2453;48,73623954205196;21,602818141787758;11951;16723930;1377;590;42,846768336964416;50;95000;2177,318978423602;1484;50;22000;1697,9677945373012;1304;4,739955357142857;68,51;64,82
Здоровье / Бинты медицинские;5826;1241;946;21,301064194987987;16,237555784414692;35450;16751299;774;344;44,44444444444444;0;99999;996,6817713697219;509;75;18880;748,8509513742072;438,5;4,483089930822445;95,89;95,85
Спортивный товар / Кормушки рыболовные;12466;2685;2066;21,538584951066902;16,573078774266005;36730;16768685;481;243;50,519750519750524;51;85000;664,7366436707846;430,5;82;4095;513,4365924491772;400;4,528641571194763;95,8;95,69
Товары для взрослых / Насадки на член;14907;1002;732;6,721674381163212;4,910444757496478;30951;16849205;497;202;40,64386317907445;0;73016;1395,29261420809;1041;75;5139;660,5450819672132;518;3,9384449244060473;94,33;94,28
Дом / Монеты сувенирные;44795;3979;3015;8,882687799977676;6,7306619042303835;45315;16867152;384;164;42,708333333333336;33;467500;1662,5329835919188;530;60;24889;501,51608623548924;291;4,802891607494225;96,27;96,2
Красота / Твердые шампуни;2301;994;879;43,19860930030421;38,20078226857888;42164;16904730;550;224;40,72727272727273;50;6800;622,4485006518905;477;148;1992;492,7007963594994;429;4,630068621334997;97,58;97,57
Хранение вещей / Кармашки в шкафчик;5040;2654;1862;52,65873015873016;36,94444444444444;32461;17064654;336;139;41,36904761904762;30;28500;880,2857142857143;648;109;2135;623,8098818474758;705;4,8761363636363635;95,03;94,72
Одежда для малышей / Джинсы для малышей;3709;1394;959;37,58425451604206;25,856025882987325;12530;17292782;532;217;40,78947368421053;117;38000;3930,9884065785927;1543;360;5690;1463,4316996871742;1350;4,624392614188532;62,68;57,38
Товары для малышей / Держатели для пустышек;17505;6567;4052;37,514995715509855;23,147672093687515;44160;17358963;506;228;45,05928853754941;50;49500;1033,0503284775778;771,5;80;2958;764,4274432379073;749;4,86478122582309;94,86;94,84
Дом / Стопперы;6423;1909;1472;29,721314027712904;22,91763973221236;64238;17368467;847;366;43,21133412042503;50;19000;750,9543826872178;373;51;6965;380,4728260869565;289;4,5446610416060516;96;95,38
Спецодежда и СИЗы / Полукомбинезоны рабочие;1908;586;392;30,712788259958074;20,545073375262056;16068;17633130;191;115;60,20942408376963;352;14186;3025,6090146750525;2457,5;554;13665;1899,8545918367347;1514;4,559477124183006;75,98;72,11
Красота / Гидролаты;4999;1505;1338;30,106021204240847;26,765353070614122;39370;17699274;567;237;41,7989417989418;50;10368;548,1850370074014;421;120;8385;480,06651718983557;398;4,4703799098519;96,8;96,71
Красота / Уход за зубными протезами;1948;455;387;23,357289527720738;19,866529774127308;26129;17825834;239;99;41,42259414225941;50;48312;1052,0939425051336;615,5;104;9200;626,0439276485788;460;4,542483660130719;97,74;97,72
Спецодежда и СИЗы / Рубашки рабочие;913;648;514;70,97480832420591;56,29791894852136;8348;17833336;122;80;65,57377049180327;315;11988;2851,5060240963853;2388;315;11988;2749,4377431906614;2121,5;4,424694708276798;68,92;66,41
Здоровье / Компрессионные гольфы;2702;1068;790;39,52627683197631;29,23760177646188;20581;17878153;328;136;41,463414634146346;58;19000;1548,941894892672;1193;186;7750;1197,2037974683544;932,5;4,157115260785576;92,14;91,86
Белье / Бандалетки;759;386;337;50,85638998682477;44,400527009222664;43077;18245073;215;117;54,418604651162795;57;10000;660,3570487483531;459;80;2100;512,0860534124629;432;4,018998272884283;89,17;89,17
Спортивная одежда / Кимоно спортивное;2233;1168;694;52,3063143752799;31,079265562024187;6385;18315554;284;158;55,63380281690141;0;237500;4137,982086878638;2961;500;16500;3575,315561959654;2840;4,297691373025517;64,71;61,2
Красота / Сменные файлы для пилок;6096;1782;1460;29,23228346456693;23,9501312335958;45637;18463318;245;110;44,897959183673464;55;19000;582,011811023622;415;77;6414;485,8095890410959;401;4,318768096867597;95,96;95,95
Книжная продукция и диски / Книги-комиксы;12565;2073;1481;16,498209311579785;11,786709112614405;25908;18696162;193;78;40,41450777202073;0;7430;846,7510545165142;742;71;5999;791,1404456448346;750;4,78656914893617;94,61;94,51
Аксессуары / Фата;2033;1442;1165;70,92966060009839;57,30447614363011;20620;18917440;167;126;75,44910179640719;139;13600;1431,007378258731;1127;153;8000;1261,4875536480686;1065;4,526315789473684;67,17;61,59
Одежда для малышей / Распашонки;5171;1743;1320;33,707213304970026;25,52697737381551;30388;19166631;553;240;43,399638336347195;0;12350;520,4047573003288;405;130;5880;568,5765151515152;454,5;4,626070409134158;91,75;91,65
Товары для животных / Комбинезоны для животных;12787;5649;2349;44,17768045671385;18,3702197544381;16446;19181071;675;333;49,333333333333336;0;33333;1953,594353640416;1738;0;7803;1729,6704980842912;1465;4,726901164230864;60,77;49,67
Одежда / Килты банные;7877;2225;1590;28,246794464897807;20,185349752443823;19660;19184388;604;260;43,04635761589404;0;30000;1702,4509330963565;1500;294;6126;1211,9968553459119;999;4,597517730496454;91,23;90,32
Хранение вещей / Держатели для украшений;7641;2206;1608;28,87056667975396;21,04436592069101;26909;19207405;896;375;41,85267857142857;0;98756;1155,1955241460541;858;93;10490;816,1480099502487;595;4,471342383107089;91,81;91,15
Ювелирные украшения / Ювелирные шнурки;1689;1040;643;61,5748963883955;38,06986382474837;9050;19227374;131;81;61,83206106870229;175;50442;3264,6246299585555;1440;348;35231;2944,2752721617417;1326;4,444260941370768;80,76;80,57
Шторы и аксессуары / Подхваты;12217;3384;2374;27,699107800605713;19,431939101252354;65465;19254497;590;253;42,881355932203384;0;22610;685,3098960464926;424;111;4015;450,2902274641954;350;4,64178135549208;93,46;92,49
Спортивная одежда / Кофты спортивные;2016;974;709;48,31349206349206;35,16865079365079;8154;19328921;358;158;44,134078212290504;50;50000;2807,284722222222;2078,5;94;15705;2475,9703808180534;1989;4,53030303030303;63,54;60,97
Рукоделие / Органайзеры для вышивки;5325;1554;1191;29,183098591549296;22,366197183098592;59507;19380093;745;326;43,758389261744966;50;19971;636,595117370892;426;60;6210;596,7271200671704;358;4,618588747280074;95,16;94,89
Смартфоны и аксессуары / Чехлы-книжки для телефонов;143721;12758;5868;8,876921257157965;4,082910639363767;51952;19453555;369;187;50,67750677506775;0;680657;467,7634027038498;378;52;6105;451,15456714383095;410;4,3873396620896195;94,32;93,37
Спортивная одежда / Гидромайки;530;271;257;51,132075471698116;48,49056603773585;6877;19825426;50;35;70;607;20708;3163,0283018867926;2793;633;8109;3109,3229571984434;2925;4,740196078431373;64,27;59,67
Сантехника / Шкафы для ванной комнаты;3589;516;423;14,377263861799944;11,786012816940652;7627;20040062;178;87;48,87640449438202;239;322908;9113,02479799387;6703;746;21318;4711,5011820330965;4275;4,222908478382931;92,32;90,92
Спортивный товар / Аксессуары для лодок;13208;1548;1239;11,720169594185341;9,380678376741368;14052;20143605;334;160;47,90419161676647;106;248011;6764,047546941248;3006,5;115;149250;2820,857949959645;1688;4,594163132950861;90,35;88,72
Ювелирная бижутерия / Браслеты ювелирная бижутерия;16066;6043;3177;37,613593925059135;19,774679447279972;24637;20314174;1454;591;40,646492434663;50;86640;1817,0822855720155;1056;90;29900;1440,7535410764872;918;4,522912667946257;84,27;84,01
Аксессуары / Портупеи;4425;2008;1403;45,378531073446325;31,706214689265536;27887;20391452;904;425;47,01327433628319;50;58615;1342,4350282485875;900;81;4140;903,0890947968638;750;4,596529968454258;82,77;81,56
Автомобильные товары / Рамки для номеров;10102;3057;2264;30,261334389229855;22,411403682439122;32919;20470823;601;245;40,765391014975044;0;97000;862,8209265491981;563;120;13000;684,8962014134275;560;4,421578765942779;92,46;91,68
Головные уборы / Береты;22344;9434;3886;42,22162549230219;17,39169351951307;20863;20734724;977;433;44,31934493346981;0;66000;1849,6028016469745;1254,5;50;16875;1444,1986618630983;1000;4,694217558284199;66,43;62,63
Одежда / Жилеты утепленные;2171;1300;962;59,88023952095808;44,31137724550898;6717;20892251;484;310;64,0495867768595;659;47469;4047,0852141870105;2940;666;47469;3802,6486486486488;2799,5;4,496807151979565;61,93;57,98
Смартфоны и аксессуары / Защитная пленка;258722;16978;7959;6,562256012244804;3,076274920571115;79602;20992799;1157;507;43,82022471910112;0;19000;387,877037901686;320;50;8614;350,73853499183315;299;3,8498295630616672;95,78;95,52
Головные уборы / Шапки-шлемы;14752;7162;3519;48,549349240780906;23,85439262472885;16288;21041380;624;253;40,544871794871796;20;37000;1597,8261252711497;1264;176;15000;1568,1133844842284;1432;4,717742558948589;74,26;70,15
Все для садоводства / Фотосетки для декора;2688;652;484;24,255952380952383;18,005952380952383;9140;21084641;33;23;69,69696969696969;395;12525;2693,3262648809523;2310;399;7262;2682,1652892561983;2317;4,0131578947368425;94,75;93,42
Мебель / Матрасы-топперы;47278;1390;914;2,940056685985025;1,9332459071872754;4892;21271373;204;124;60,78431372549019;100;180189;14753,888912390541;12012;1120;36675;5160,108315098469;3704;4,425369433700288;91,93;90,36
Книжная продукция и диски / Журналы;15519;5016;3799;32,321670210709456;24,47967008183517;59509;21325225;282;145;51,41843971631206;48;59058;418,619885301888;300;50;6923;396,8857594103711;290;4,697201303810274;96,94;96,91
Спортивная одежда / Костюмы охотничьи;2351;1017;580;43,25818800510421;24,670353041259037;3947;21518781;322;148;45,962732919254655;0;71536;8177,654189706508;5277;250;71536;8840,294827586207;5510;4,409240924092409;68,86;65,2
Канцелярские товары / Закладки;12732;3174;2327;24,929311969839777;18,276782909205153;105463;21531195;880;378;42,95454545454545;29;28500;891,2450518378888;282;52;2214;263,1297808336914;206;4,721546310832025;95,93;95,29
Белье / Пэстис;1060;554;493;52,26415094339623;46,509433962264154;65637;22310011;345;210;60,869565217391305;75;12350;503,5660377358491;355;89;1705;384,1602434077079;330;4,3959899749373434;95,34;95,32
Рукоделие / Стразы;21168;7289;4972;34,43405139833711;23,488284202569915;73513;22357862;737;406;55,08819538670285;0;97000;754,2749433106576;319;53;5668;451,9742558326629;278;4,591576808876387;93,74;93,57
Белье / Буркини;1072;576;512;53,731343283582085;47,76119402985074;4211;22420876;114;82;71,92982456140352;0;45000;5140,513992537313;4420;0;14550;5126,943359375;4300;4,591019417475728;56,67;56,67
Бытовая техника / Насадки для электрических зубных щеток;2489;784;684;31,498593812776214;27,48091603053435;42930;22476505;477;194;40,67085953878407;0;35087;1583,1546805946164;1216;50;8245;985,1988304093567;706,5;4,598445595854923;97,63;97,58
Для праздника / Подставки для воздушных шаров;1411;561;482;39,75903614457832;34,16017009213324;61302;22519674;380;171;45;50;98076;762,4124734231042;410;70;4400;477,87759336099583;400;4,335650446871897;94,79;94,51
Аксессуары / Очки для компьютера;7934;2857;1682;36,009579026972524;21,19989916813713;34190;22587925;579;266;45,9412780656304;0;107398;1383,2072094781952;850;0;7265;927,0398335315101;768,5;4,523334747560458;76,48;75,04
Товары для малышей / Простыни натяжные для малышей;4596;1905;1600;41,4490861618799;34,81288076588338;41492;22625068;175;98;56;59;5305;688,415361183638;539;247;3112;617,485625;538;4,69691738594328;94,05;94
Дом / Бра;88599;4442;1899;5,013600604972968;2,143365049266922;11597;22725250;492;213;43,29268292682927;0;121924;7588,81614916647;5744;216;28206;3345,951553449184;1999;4,313526192337764;87,42;84,5
Головные уборы / Чалма;7925;3901;2696;49,22397476340694;34,018927444794954;34122;22838653;544;241;44,30147058823529;10;37000;911,4268769716089;759;125;4500;852,8134272997032;759;4,756888633754305;82,1;80,37
Белье / Гетры;7433;2942;2065;39,580250235436566;27,781514866137496;53172;22947975;651;300;46,082949308755765;41;75000;826,2280371317099;540;52;10187;565,7859564164648;449;4,576749231603689;89,71;89,64
Красота / Закрепители для ресниц;937;352;324;37,56670224119531;34,578441835645684;19954;22996541;160;75;46,875;55;12222;1214,6990394877268;739;154;8995;1255,0432098765432;794;4,150078988941548;94,66;94,61
Спортивная одежда / Купальники гимнастические;6132;3286;1887;53,587736464448795;30,772994129158512;20998;23087512;525;244;46,476190476190474;45;60000;2416,9054142204827;1058,5;234;12000;1353,5606783253843;1050;4,550161067648412;59,77;56,44
Спортивный товар / Леска рыболовная;32850;6559;4384;19,966514459665145;13,345509893455098;63179;23177207;564;286;50,70921985815603;51;66500;862,9531506849315;496,5;51;9999;528,4137773722628;365,5;4,455138468837099;95,58;95,36
Техника для кухни / Аксессуары для кофемашин;8504;1295;1001;15,228127939793037;11,770931326434619;26497;23302069;588;241;40,98639455782313;0;60000;1764,7173095014111;1454;70;11022;1303,906093906094;985;4,424750499001996;96,66;96,38
Дом / Обереги;30962;8532;5719;27,556359408306957;18,471029003294362;47325;23593685;911;431;47,310647639956095;0;89570;970,1501840966346;547;42;22000;633,4771813254065;458;4,712197075906269;94,33;94,12
Бижутерия / Значки;195920;18798;11211;9,594732543895468;5,722233564720294;89670;23594626;1616;721;44,616336633663366;0;39567;332,0384442629645;234;45;2763;273,29265899562927;241;4,8200432614752895;94,46;94,26
Товары для малышей / Защитные барьеры детские;1791;826;606;46,11948632049135;33,835845896147404;11647;23611511;247;103;41,70040485829959;75;48500;2879,828587381351;2029;100;33470;2345,5247524752476;2210;4,47313691507799;86,84;83,32
Автомобильные товары / Оплетки на руль;35155;2973;2107;8,456834020765182;5,993457545157161;32951;23918397;665;289;43,45864661654135;0;160000;1054,7970416725927;1030;196;5501;941,2719506407215;836;4,419629568381016;91,95;90,24
Спортивный товар / Блесны рыболовные;54856;8462;4964;15,42584220504594;9,049146857226193;44083;23937417;560;284;50,714285714285715;50;81000;602,9057167857663;478;100;3375;432,4746172441579;383;4,567554479418886;95,31;94,98
Строительные материалы / Ручки дверные;20821;4397;2252;21,11810191633447;10,8160030738197;30809;23998067;531;213;40,11299435028249;0;28500;1744,9844387877624;1250;82;10800;1037,8730017761989;861,5;4,355819024257291;92,74;90,91
Шторы и аксессуары / Крючки для штор;4866;1624;1365;33,37443485408961;28,0517879161529;132493;24096813;675;314;46,51851851851852;0;9814;470,01890669954787;314;60;2225;335,84395604395604;268;4,552056555269923;95,65;95,27
Спецодежда и СИЗы / Брюки рабочие;3712;1256;862;33,83620689655173;23,22198275862069;25054;24673259;297;167;56,22895622895623;240;14757;2552,2039331896553;1920;387;8725;1643,0754060324825;1397,5;4,405211726384365;75,72;72,27
Красота / Дозаторы косметические;2794;1143;1030;40,90909090909091;36,86471009305655;63304;24905282;749;311;41,52202937249666;50;25652;774,3622047244095;432;50;2198;474,378640776699;400;4,577293461733401;95,05;94,97
Спортивная одежда / Жилеты спортивные;6965;2950;1805;42,354630294328786;25,91529073941134;10596;25103075;807;351;43,49442379182156;56;60000;2677,772433596554;2025;356;48096;2549,214404432133;2090;4,445514363665543;65,8;62,69
Спортивные аксессуары / Очки спортивные;6731;2434;1521;36,16104590699747;22,596939533501708;21351;25364223;805;369;45,838509316770185;50;61880;3073,785321646115;1960;50;30000;2211,3865877712033;1436;4,430985915492958;86,32;85,16
Красота / Удалитель накладных ресниц;2413;837;720;34,68711147948612;29,83837546622462;66874;25471959;253;130;51,38339920948617;57;4500;664,1537505180273;578;71;2100;540,6361111111111;497,5;4,340193704600484;95,73;95,71
