Предметы;Товары;Товары с движением;Товары с продажами;% товаров с движением;% товаров с продажами;Продажи;Выручка;Продавцы;Продавцы с продажами;% продавцов с продажами;Минимальная цена;Максимальная цена;Средняя цена;Медианная цена;Минимальная цена с продажами;Максимальная цена с продажами;Средняя цена с продажами;Медианная цена с продажами;Средний рейтинг;Средний % выкупа;Средний % выкупа с учетом возвратов
Ювелирные украшения / Ювелирные кольца;118999;63568;26328;53,4189362935823;22,12455566853503;215139;690418680;1024;607;59,27734375;0;648150;11425,624786762914;2746,5;134;484970;5621,448913704041;1920;4,702744285355438;75,08;74,9
Ювелирные украшения / Ювелирные серьги;182774;86216;36979;47,17082298357534;20,232089903377943;257289;696913952;1202;684;56,90515806988353;0;650000;11155,424819722717;3226;0;479808;5446,5561264501475;2092;4,600971561582836;83,09;82,98
Одежда / Джемперы;153912;65900;36105;42,8166744633297;23,45820988616872;431906;703259688;7349;3349;45,57082596271602;0;199000;2452,2121731898746;1746;0;199000;2350,4146794072844;1799;4,4599763359331615;68,58;65,6
Одежда / Толстовки;152606;35381;22632;23,184540581628507;14,830347430638376;320930;715270234;6205;2781;44,81869460112812;0;100000;2635,874533111411;2490;71;100000;2616,7752739483917;2000;4,470933212724257;66,75;63,42
Спортивная одежда / Брюки спортивные;55620;28905;19753;51,968716289104634;35,51420352391226;582204;735358896;5754;3192;55,47445255474452;0;85000;2118,722977346278;1408;150;35990;1953,673619197084;1422;4,494967489088804;64,96;61,35
Одежда / Халаты домашние;66516;31644;22118;47,57351614649107;33,25214985868062;523373;779474728;3834;2034;53,05164319248826;0;100000;2068,6105297973418;1443,5;199;36399;1960,0407812641288;1519;4,610398402916413;78,58;76,27
Шторы и аксессуары / Шторы интерьерные;315285;46082;25578;14,61598236516168;8,11265997430896;404156;811082915;2217;1108;49,97744700045106;0;167500;3701,7057360800545;3199;0;39650;2708,4892485729924;2400;4,48487832453477;84,84;80,86
Одежда / Футболки-поло;49355;23685;17985;47,989058859284775;36,440076993212436;598647;832725322;3138;1852;59,018483110261315;25;96000;2291,3307061088035;1609;25;70000;2208,530886850153;1665;4,386823712140823;69,92;66,15
Одежда / Кардиганы;92903;38633;25176;41,58423301723303;27,099232532856853;390663;883443569;9823;4093;41,667515015779294;0;162828;2772,5977632584522;2098;272;60000;2766,0836113759137;2184;4,508548958557011;58,63;54,84
Одежда / Жилеты;70538;31379;21488;44,48524199722136;30,463012844140746;372175;907652030;9274;4263;45,96722018546474;0;140875;3026,9783662706627;2157;0;68640;2952,0586839166044;2297;4,543813887909764;55,1;50,82
Белье / Комплекты белья;75224;33797;24173;44,92848027225354;32,134691056045945;975118;961090061;7792;3823;49,063141683778234;0;100000;1255,3698819525682;934;0;20000;1192,0259793985024;925;4,496165886946428;74,56;74,47
Смартфоны и аксессуары / Чехлы для телефонов;2534199;419719;199777;16,562195786518735;7,883240424291857;3210875;966109163;7519;3036;40,37770980183535;0;727220;491,34541210062827;318;0;70000;409,915400671749;318;4,4432840955680835;94,08;93,54
Одежда / Лонгсливы;96486;43716;30142;45,308127604004724;31,23976535455921;839494;981155829;9388;5318;56,64678312739668;0;193030;1376,894886304749;1017;0;50000;1361,2077831597107;1113;4,554622693680559;70,87;68,34
Одежда / Худи;125730;42066;25643;33,45740873299928;20,3952914976537;481175;1072843012;10618;4609;43,40742135995479;0;165000;2553,7673268114213;2020;206;97000;2606,250516710213;2131;4,509377913119135;65,69;62,67
Одежда / Туники;89895;43766;30697;48,68568885922465;34,14761666388564;882842;1255799060;6328;3433;54,25094816687737;0;230000;1802,5079036653874;1339,5;0;100000;1758,7560347916735;1401,5;4,55432363849307;66,44;63,69
Обувь / Шлепанцы;63597;33847;27688;53,22106388666132;43,53664481028979;1156776;1289805475;3516;2156;61,319681456200236;0;85000;1633,1619258770068;976;0;50000;1574,6198353077145;1079;4,3619181681681685;61,73;58,93
Обувь / Сабо;60100;31589;25221;52,56073211314476;41,96505823627288;704492;1291407877;2483;1627;65,52557390253726;0;152000;2644,015524126456;2040;0;41890;2726,6619087268546;2100;4,443063744790367;57,63;53,53
Книжная продукция и диски / Книги;2106200;279946;155764;13,291520273478302;7,39549900294369;3019753;1347299956;3901;1766;45,27044347603179;0;1586647;1105,281326559681;836;52;79500;604,89656146478;441;4,692264383801701;95,8;95,78
Обувь / Ботинки;266140;118323;59432;44,458931389494246;22,331103930262266;388509;1586620674;5422;3052;56,289192180007376;0;129400;5297,055376869317;4181;0;104500;4946,330562659847;4179;4,397543189029708;56,35;52,6
Одежда / Пижамы;189104;78028;49114;41,26195109569338;25,971951941788646;1366452;1662661241;12980;6222;47,935285053929114;0;187000;1596,7845682798884;1154;0;187000;1533,36401026184;1171,5;4,5886296240035405;79,52;77,71
Белье / Бюстгальтеры;107264;48922;37892;45,60896479713603;35,32592482100238;1556656;1698252514;4036;2202;54,5589692765114;0;100100;2244,0848560560858;1426;85;20200;1751,1800643935396;1298;4,467999477329152;70,99;70,89
Одежда / Топы;150890;80305;61432;53,220889389621576;40,71310225992445;2728933;2570358966;15424;9242;59,919605809128626;0;199000;1217,85485452979;882;0;199000;1190,263527151973;920;4,411977711271681;69,29;67,29
Одежда / Блузки;190389;90923;64172;47,756435508353945;33,70572879735699;1790738;2826727397;10892;5960;54,719059860448034;0;95000;2064,45091890813;1532;0;62496;2072,7174936109204;1624;4,404785889418965;57,86;53,83
Белье / Трусы;364447;133577;94317;36,65196859900068;25,879483162160753;4359750;3100711231;15965;8299;51,98246163482618;0;100000;952,17153660203;600;0;85000;776,8669805019243;599;4,500827520762739;90,1;90,03
Аксессуары / Сумки;635444;207486;125030;32,65212984936517;19,676006068197985;2303342;3591935234;31648;13939;44,04385743174924;0;499999;3864,453097361845;2190;0;182160;3352,3358074062226;1890;4,514609865636268;79,96;78,42
Спортивная одежда / Костюмы спортивные;231960;108394;74088;46,72960855319883;31,939989653388515;1625654;3743787719;20064;9859;49,13775917065391;0;212000;2943,0636661493363;2240;0;212000;2926,3038278803583;2357;4,446057558089729;59,43;55,86
Одежда / Рубашки;216416;98931;73333;45,71334836610972;33,88520257282271;2107107;3856222846;16890;9286;54,97927767910006;0;249999;2382,6395183350583;1828;0;119300;2289,3872335783344;1800;4,422934489628501;55,91;51,76
Одежда / Шорты;162325;84419;67606;52,00616048051748;41,64854458647775;2862875;3941106156;14274;9163;64,19363878380271;0;100000;1567,168131834283;1056;0;100000;1564,992190042304;1199;4,578230008306275;56,63;52,77
Обувь / Кроссовки;345192;169441;123165;49,08601589839857;35,6801432246402;2346058;6425339851;8666;4971;57,36210477729056;0;168000;3776,757419059538;2600;0;90000;3608,8514188284007;2648;4,325190105455381;58,37;54,94
Одежда / Футболки;1186285;367446;224869;30,974512870010155;18,955731548489613;7716354;6790749990;27737;15390;55,4854526444821;0;193030;1203,6536161209153;1056;0;135000;1219,0593945808448;926;4,5542846496071405;77,99;76,05
undefined / Итого;;;;;;;;;;;;;;;;;;;;;
